"id","ph","ec","water_temp","ket","pengaduk","createdAt"
4082,7.42118,0.218691,32.5,0,1,"2023-04-05T08:38:15.000Z"
4083,7.37685,0.275741,32.5,0,1,"2023-04-05T08:38:20.000Z"
4084,7.45813,0.247216,32.5,0,1,"2023-04-05T08:38:25.000Z"
4085,7.57635,0.223445,32.5,0,0,"2023-04-05T08:38:29.000Z"
4086,7.62069,0.218691,32.5,0,1,"2023-04-05T08:38:34.000Z"
4087,7.4803,0.223445,32.5,0,1,"2023-04-05T08:38:39.000Z"
4088,7.47291,0.218691,32.5,0,1,"2023-04-05T08:38:43.000Z"
4089,7.65025,0.242462,32.5,0,0,"2023-04-05T08:38:48.000Z"
4090,7.42857,0.223445,32.5,0,1,"2023-04-05T08:38:52.000Z"
4091,7.63547,0.223445,32.5,0,0,"2023-04-05T08:38:57.000Z"
4092,7.44335,0.213937,32.5,0,1,"2023-04-05T08:39:02.000Z"
4093,7.57635,0.213937,32.5,0,1,"2023-04-05T08:39:06.000Z"
4094,7.56158,0.247216,32.5,0,0,"2023-04-05T08:39:11.000Z"
4095,7.45074,0.213937,32.5,0,1,"2023-04-05T08:39:16.000Z"
4096,7.53941,0.218469,32.5625,0,1,"2023-04-05T08:39:22.000Z"
4097,7.66502,0.275741,32.5,0,0,"2023-04-05T08:39:27.000Z"
4098,7.50246,0.218691,32.5,0,1,"2023-04-05T08:39:30.000Z"
4099,7.4803,0.213937,32.5,0,1,"2023-04-05T08:39:36.000Z"
4100,7.62069,0.218469,32.5625,0,0,"2023-04-05T08:39:40.000Z"
4101,7.51724,0.223219,32.5625,0,1,"2023-04-05T08:39:44.000Z"
4102,7.53941,0.218691,32.5,0,1,"2023-04-05T08:39:51.000Z"
4103,7.65764,0.218691,32.5,0,0,"2023-04-05T08:39:53.000Z"
4104,7.45074,0.270712,32.5625,0,1,"2023-04-05T08:39:59.000Z"
4105,7.62808,0.218469,32.5625,0,0,"2023-04-05T08:40:03.000Z"
4106,7.46552,0.218469,32.5625,0,1,"2023-04-05T08:40:09.000Z"
4107,7.6798,0.218469,32.5625,0,0,"2023-04-05T08:40:13.000Z"
4108,7.47291,0.223219,32.5625,0,1,"2023-04-05T08:40:16.000Z"
4109,7.63547,0.213937,32.5,0,1,"2023-04-05T08:40:23.000Z"
4110,7.42857,0.218469,32.5625,0,1,"2023-04-05T08:40:28.000Z"
4111,7.79803,0.213937,32.5,0,0,"2023-04-05T08:40:31.000Z"
4112,7.36207,0.218691,32.5,0,1,"2023-04-05T08:40:36.000Z"
4113,7.77586,0.213937,32.5,0,0,"2023-04-05T08:40:40.000Z"
4114,7.49507,0.256464,32.5625,0,1,"2023-04-05T08:40:44.000Z"
4115,7.65025,0.218469,32.5625,0,0,"2023-04-05T08:40:48.000Z"
4116,7.42857,0.218469,32.5625,0,1,"2023-04-05T08:40:56.000Z"
4117,7.23645,0.218469,32.5625,1,1,"2023-04-05T08:40:59.000Z"
4118,7.46552,0.256464,32.5625,1,0,"2023-04-05T08:41:03.000Z"
4119,7.15517,0.256464,32.5625,1,1,"2023-04-05T08:41:08.000Z"
4120,6.97783,0.261478,32.5,1,1,"2023-04-05T08:41:12.000Z"
4121,7.03695,0.289709,32.5625,1,0,"2023-04-05T08:41:16.000Z"
4122,6.74138,0.318205,32.5625,1,1,"2023-04-05T08:41:23.000Z"
4123,6.5936,0.3562,32.5625,1,1,"2023-04-05T08:41:26.000Z"
4124,6.5936,0.484432,32.5625,1,0,"2023-04-05T08:41:32.000Z"
4125,6.57143,0.484432,32.5625,1,0,"2023-04-05T08:41:37.000Z"
4126,6.41626,0.531925,32.5625,1,1,"2023-04-05T08:41:40.000Z"
4127,6.57143,0.607914,32.5625,1,0,"2023-04-05T08:41:44.000Z"
4128,6.49015,0.650658,32.5625,1,1,"2023-04-05T08:41:49.000Z"
4129,6.40887,0.679154,32.5625,1,1,"2023-04-05T08:41:54.000Z"
4130,6.56404,0.70765,32.5625,1,0,"2023-04-05T08:41:58.000Z"
4131,6.42365,0.726648,32.5625,1,1,"2023-04-05T08:42:03.000Z"
4132,6.41626,0.736146,32.5625,1,1,"2023-04-05T08:42:08.000Z"
4133,6.48276,0.765419,32.5,1,0,"2023-04-05T08:42:12.000Z"
4134,6.31281,0.764642,32.5625,1,1,"2023-04-05T08:42:17.000Z"
4135,6.47537,0.840632,32.5625,1,0,"2023-04-05T08:42:21.000Z"
4136,6.30542,0.878626,32.5625,1,1,"2023-04-05T08:42:26.000Z"
4137,6.36453,0.878626,32.5625,1,0,"2023-04-05T08:42:31.000Z"
4138,6.35714,0.930869,32.5625,1,0,"2023-04-05T08:42:35.000Z"
4139,6.26108,0.87001,32.5,1,0,"2023-04-05T08:42:40.000Z"
4140,6.40887,0.879519,32.5,1,0,"2023-04-05T08:42:45.000Z"
4141,6.23153,0.892874,32.5625,1,1,"2023-04-05T08:42:49.000Z"
4142,6.3202,0.954616,32.5625,1,0,"2023-04-05T08:42:55.000Z"
4143,6.31281,0.949866,32.5625,1,0,"2023-04-05T08:42:59.000Z"
4144,6.13547,1.02214,32.5,1,0,"2023-04-05T08:43:03.000Z"
4145,6.34975,0.973613,32.5625,1,0,"2023-04-05T08:43:09.000Z"
4146,6.19458,0.978362,32.5625,1,1,"2023-04-05T08:43:13.000Z"
4147,6.20936,0.974602,32.5,1,1,"2023-04-05T08:43:17.000Z"
4148,6.3202,0.978362,32.5625,1,0,"2023-04-05T08:43:22.000Z"
4149,6.14286,0.987861,32.5625,1,1,"2023-04-05T08:43:27.000Z"
4150,6.23892,0.99261,32.5625,1,0,"2023-04-05T08:43:32.000Z"
4151,6.28325,0.987861,32.5625,1,0,"2023-04-05T08:43:36.000Z"
4152,6.13547,1.00788,32.5,1,1,"2023-04-05T08:43:41.000Z"
4153,6.18719,1.01263,32.5,1,1,"2023-04-05T08:43:45.000Z"
4154,6.28325,1.00686,32.5625,1,0,"2023-04-05T08:43:50.000Z"
4155,6.13547,1.02586,32.5625,1,1,"2023-04-05T08:43:54.000Z"
4156,6.16502,1.04485,32.5625,1,1,"2023-04-05T08:44:00.000Z"
4157,6.25369,1.06968,32.5,1,0,"2023-04-05T08:44:04.000Z"
4158,6.16502,1.06493,32.5,1,0,"2023-04-05T08:44:08.000Z"
4159,6.10591,1.06968,32.5,1,1,"2023-04-05T08:44:13.000Z"
4160,6.16502,1.0876,32.5625,1,0,"2023-04-05T08:44:18.000Z"
4161,6.07635,1.10659,32.5625,1,1,"2023-04-05T08:44:22.000Z"
4162,6.21675,1.13984,32.5625,1,0,"2023-04-05T08:44:27.000Z"
4163,6.09113,1.13984,32.5625,1,0,"2023-04-05T08:44:32.000Z"
4164,6.19458,1.13984,32.5625,1,0,"2023-04-05T08:44:36.000Z"
4165,6.15025,1.13984,32.5625,1,1,"2023-04-05T08:44:58.000Z"
4166,6.09852,1.16359,32.5625,1,1,"2023-04-05T08:44:58.000Z"
4167,6.22414,1.16001,32.5,1,0,"2023-04-05T08:44:58.000Z"
