"id","ph","ec","water_temp","ket","pengaduk"
1241,16.3023,0.427789,25,1,0
1242,16.3023,0.427789,25,1,0
1243,16.3023,0.427789,25,1,0
1244,16.3023,0.434271,25,1,0
1245,16.3023,0.434271,25,1,0
1246,16.3023,0.434271,25,1,0
1247,16.3023,0.434271,25,1,0
1248,16.3023,0.434271,25,1,0
1249,16.3023,0.434271,25,1,0
1250,16.3023,0.434271,25,1,0
1251,16.3023,0.434271,25,1,0
1252,16.3023,0.434271,25,1,0
1253,16.3023,0.434271,25,1,0
1254,16.3023,0.434271,25,1,0
1255,16.3023,0.434271,25,1,0
1256,16.3023,0.434271,25,1,0
1257,16.3023,0.434271,25,1,0
1258,16.3023,0.434271,25,1,0
1259,16.3023,0.440752,25,1,0
1260,16.3023,0.440752,25,1,0
1261,16.3023,0.434271,25,1,0
1262,16.3023,0.440752,25,1,0
1263,16.3023,0.434271,25,1,0
1264,16.3023,0.440752,25,1,0
1265,16.3023,0.440752,25,1,0
1266,16.3023,0.440752,25,1,0
1267,16.3023,0.440752,25,1,0
1268,16.3023,0.440752,25,1,0
1269,16.3023,0.440752,25,1,0
1270,16.3023,0.440752,25,1,0
1271,16.3023,0.440752,25,1,0
1272,16.3023,0.440752,25,1,0
1273,16.3023,0.440752,25,1,0
1274,16.3023,0.440752,25,1,0
1275,16.3023,0.440752,25,1,0
1276,16.3023,0.440752,25,1,0
1277,16.3023,0.440752,25,1,0
1278,16.3023,0.440752,25,1,0
1279,16.3023,0.440752,25,1,0
1280,16.3023,0.440752,25,1,0
1281,16.3023,0.440752,25,1,0
1282,16.3023,0.440752,25,1,0
1283,16.3023,0.440752,25,1,0
1284,16.3023,0.440752,25,1,0
1285,16.3023,0.440752,25,1,0
1286,16.3023,0.447234,25,1,0
1287,16.3023,0.447234,25,1,0
1288,16.3023,0.440752,25,1,0
1289,16.3023,0.447234,25,1,0
1290,16.3023,0.440752,25,1,0
1291,16.3023,0.447234,25,1,0
1292,16.3023,0.447234,25,1,0
1293,16.3023,0.440752,25,1,0
1294,16.3023,0.447234,25,1,0
1295,16.3023,0.447234,25,1,0
1296,16.3023,0.447234,25,1,0
1297,16.3023,0.447234,25,1,0
1298,16.3023,0.447234,25,1,0
1299,16.3023,0.447234,25,1,0
1300,16.3023,0.447234,25,1,0
1301,16.3023,0.447234,25,1,0
1302,16.3023,0.447234,25,1,0
1303,16.3023,0.447234,25,1,0
1304,16.3023,0.447234,25,1,0
1305,16.3023,0.447234,25,1,0
1306,16.3023,0.447234,25,1,0
1307,16.3023,0.447234,25,1,0
1308,16.3023,0.447234,25,1,0
1309,16.3023,0.447234,25,1,0
1310,16.3023,0.447234,25,1,0
1311,16.3023,0.447234,25,1,0
1312,16.3023,0.447234,25,1,0
1313,16.3023,0.447234,25,1,0
1314,16.3023,0.447234,25,1,0
1315,16.3023,0.447234,25,1,0
1316,16.3023,0.447234,25,1,0
1317,16.3023,0.447234,25,1,0
1318,16.3023,0.447234,25,1,0
1319,16.3023,0.447234,25,1,0
1320,16.3023,0.447234,25,1,0
1321,16.3023,0.447234,25,1,0
1322,16.3023,0.447234,25,1,0
1323,16.3023,0.447234,25,1,0
1324,16.3023,0.447234,25,1,0
1325,16.3023,0.447234,25,1,0
1326,16.3023,0.447234,25,1,0
1327,16.3023,0.447234,25,1,0
1328,16.3023,0.447234,25,1,0
1329,16.3023,0.447234,25,1,0
1330,16.3023,0.447234,25,1,0
1331,16.3023,0.447234,25,1,0
1332,16.3023,0.447234,25,1,0
1333,16.3023,0.447234,25,1,0
1334,16.3023,0.447234,25,1,0
1335,16.3023,0.447234,25,1,0
1336,16.3023,0.447234,25,1,0
1337,16.3023,0.447234,25,1,0
1338,16.3023,0.447234,25,1,0
1339,16.3023,0.447234,25,1,0
1340,16.3023,0.447234,25,1,0
1341,16.3023,0.447234,25,1,0
1342,16.3023,0.453716,25,1,0
1343,16.3023,0.447234,25,1,0
1344,16.3023,0.453716,25,1,0
1345,16.3023,0.447234,25,1,0
1346,16.3023,0.453716,25,1,0
1347,16.3023,0.453716,25,1,0
1348,16.3023,0.453716,25,1,0
1349,16.3023,0.453716,25,1,0
1350,16.3023,0.453716,25,1,0
1351,16.3023,0.453716,25,1,0
1352,16.3023,0.447234,25,1,0
1353,16.3023,0.453716,25,1,0
1354,16.3023,0.453716,25,1,0
1355,16.3023,0.453716,25,1,0
1356,16.3023,0.453716,25,1,0
1357,16.3023,0.453716,25,1,0
1358,16.3023,0.453716,25,1,0
1359,16.3023,0.447234,25,1,0
1360,16.3023,0.453716,25,1,0
1361,16.3023,0.453716,25,1,0
1362,16.3023,0.453716,25,1,0
1363,16.3023,0.453716,25,1,0
1364,16.3023,0.453716,25,1,0
1365,16.3023,0.453716,25,1,0
1366,16.3023,0.453716,25,1,0
1367,16.3023,0.453716,25,1,0
1368,16.3023,0.453716,25,1,0
1369,16.3023,0.453716,25,1,0
1370,16.3023,0.453716,25,1,0
1371,16.3023,0.453716,25,1,0
1372,16.3023,0.453716,25,1,0
1373,16.3023,0.453716,25,1,0
1374,16.3023,0.453716,25,1,0
1375,16.3023,0.453716,25,1,0
1376,16.3023,0.453716,25,1,0
1377,16.3023,0.453716,25,1,0
1378,16.3023,0.453716,25,1,0
1379,16.3023,0.453716,25,1,0
1380,16.3023,0.453716,25,1,0
1381,16.3023,0.453716,25,1,0
1382,16.3023,0.453716,25,1,0
1383,16.3023,0.453716,25,1,0
1384,16.3023,0.453716,25,1,0
1385,16.3023,0.453716,25,1,0
1386,16.3023,0.453716,25,1,0
1387,16.3023,0.453716,25,1,0
1388,16.3023,0.453716,25,1,0
1389,16.3023,0.453716,25,1,0
1390,16.3023,0.453716,25,1,0
1391,16.3023,0.453716,25,1,0
1392,16.3023,0.453716,25,1,0
1393,16.3023,0.453716,25,1,0
1394,16.3023,0.453716,25,1,0
1395,16.3023,0.453716,25,1,0
1396,16.3023,0.453716,25,1,0
1397,16.3023,0.453716,25,1,0
1398,16.3023,0.453716,25,1,0
1399,16.3023,0.453716,25,1,0
1400,16.3023,0.453716,25,1,0
1401,16.3023,0.453716,25,1,0
1402,16.3023,0.453716,25,1,0
1403,16.3023,0.453716,25,1,0
1404,16.3023,0.453716,25,1,0
1405,16.3023,0.453716,25,1,0
1406,16.3023,0.453716,25,1,0
1407,16.3023,0.453716,25,1,0
1408,16.3023,0.453716,25,1,0
1409,16.3023,0.453716,25,1,0
1410,16.3023,0.453716,25,1,0
1411,16.3023,0.453716,25,1,0
1412,16.3023,0.453716,25,1,0
1413,16.3023,0.453716,25,1,0
1414,16.3023,0.453716,25,1,0
1415,16.3023,0.453716,25,1,0
1416,16.3023,0.453716,25,1,0
1417,16.3023,0.453716,25,1,0
1418,16.3023,0.453716,25,1,0
1419,16.3023,0.453716,25,1,0
1420,16.3023,0.453716,25,1,0
1421,16.3023,0.453716,25,1,0
1422,16.3023,0.453716,25,1,0
1423,16.3023,0.453716,25,1,0
1424,16.3023,0.453716,25,1,0
1425,16.3023,0.453716,25,1,0
1426,16.3023,0.453716,25,1,0
1427,16.3023,0.453716,25,1,0
1428,16.3023,0.453716,25,1,0
1429,16.3023,0.453716,25,1,0
1430,16.3023,0.453716,25,1,0
1431,16.3023,0.453716,25,1,0
1432,16.3023,0.453716,25,1,0
1433,16.3023,0.453716,25,1,0
1434,16.3023,0.453716,25,1,0
1435,16.3023,0.453716,25,1,0
1436,16.3023,0.453716,25,1,0
1437,16.3023,0.453716,25,1,0
1438,16.3023,0.453716,25,1,0
1439,16.3023,0.453716,25,1,0
1440,16.3023,0.453716,25,1,0
1441,16.3023,0.453716,25,1,0
1442,16.3023,0.453716,25,1,0
1443,16.3023,0.453716,25,1,0
1444,16.3023,0.453716,25,1,0
1445,16.3023,0.453716,25,1,0
1446,16.3023,0.453716,25,1,0
1447,16.3023,0.453716,25,1,0
1448,16.3023,0.453716,25,1,0
1449,16.3023,0.453716,25,1,0
1450,16.3023,0.453716,25,1,0
1451,16.3023,0.453716,25,1,0
1452,16.3023,0.453716,25,1,0
1453,16.3023,0.453716,25,1,0
1454,16.3023,0.453716,25,1,0
1455,16.3023,0.453716,25,1,0
1456,16.3023,0.453716,25,1,0
1457,16.3023,0.453716,25,1,0
1458,16.3023,0.453716,25,1,0
1459,16.3023,0.453716,25,1,0
1460,16.3023,0.453716,25,1,0
1461,16.3023,0.453716,25,1,0
1462,16.3023,0.453716,25,1,0
1463,16.3023,0.453716,25,1,0
1464,16.3023,0.453716,25,1,0
1465,16.3023,0.453716,25,1,0
1466,16.3023,0.453716,25,1,0
1467,16.3023,0.453716,25,1,0
1468,16.3023,0.453716,25,1,0
1469,16.3023,0.453716,25,1,0
1470,16.3023,0.453716,25,1,0
1471,16.3023,0.453716,25,1,0
1472,16.3023,0.453716,25,1,0
1473,16.3023,0.453716,25,1,0
1474,16.3023,0.453716,25,1,0
1475,16.3023,0.453716,25,1,0
1476,16.3023,0.453716,25,1,0
1477,16.3023,0.453716,25,1,0
1478,16.3023,0.453716,25,1,0
1479,16.3023,0.453716,25,1,0
1480,16.3023,0.453716,25,1,0
1481,16.3023,0.453716,25,1,0
1482,16.3023,0.453716,25,1,0
1483,16.3023,0.453716,25,1,0
1484,16.3023,0.453716,25,2,0
